country_name,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Ecuador,0.23557264768032124,-0.09920331887350257,0.06329783855192485,-0.08475894236041391,0.2049859343226368,0.25042489866516987,0.14255530959913026,0.2102955616765014,-0.20891064154278172,-0.07713722518202801
Egypt,0.08858933143959778,0.1302095526511968,0.08052049338046496,-0.14372719975406367,0.5957013672366999,-0.12864440390787044,0.00559764511026636,0.034114565324854636,-0.13359514238306044,0.025438604217342217
El Salvador,0.2629644662920838,-0.01826345517015597,0.04128015711386309,-0.1217778924601812,0.08362723647400026,0.14051646426367972,-0.03769489113029976,0.10189420932696731,-0.1680572578149549,-0.04927594327026401
Equatorial Guinea,0.37829003400927236,0.2621900011353143,0.03990620799242967,-0.20831226036485437,0.03188016855398343,0.17971609603974287,-0.19128700230500806,-0.33220916230820746,-0.1838056291778494,-0.023344529214161337
Eritrea,0.060619700096500626,-0.040410128602276135,-0.011140240559110845,-0.005263743749772175,0.09075431503144335,0.07600952958484171,0.03722218577580103,0.06637207540652754,-0.01723875927974144,-0.046926299506576466
Estonia,0.08263045828404522,0.004788676853362458,-0.055019603217021575,0.0037380856870330324,0.08149554451857098,0.06956662898352255,-0.05260082397656266,0.0526349871090378,0.03737164493865528,0.031845648046866765
Eswatini,-0.2123466541163836,0.3659081097830115,0.21109488569990945,-0.11659063289270473,0.05134559407630028,0.13195622854384034,-0.012113854647708429,0.021597618899613008,-0.035130293132331264,0.008410491633091245
Ethiopia,-0.021054914629534537,0.024690127844687375,0.050534627529554746,-0.038155478458870205,0.38122515688950975,-0.2517358427210103,0.025063572684725966,-0.030370255959575092,-0.09948638026559892,-0.16968791805223002
Fiji,-0.1450711674852805,0.05727287862349593,-0.06816828774052806,-0.18867574757252317,-0.027317607103662617,0.15538360854760155,-0.0025339125515210915,0.004525793303403641,0.0795084608093626,-0.0027120026046142586
Finland,0.014149412000322251,0.08990001182261562,-0.0829078011378417,-0.04750609731618749,0.07702479919626383,0.23807041758969577,0.0029526317527207467,-0.029297713921026237,0.2880441307958804,-0.023328636743083792
France,0.14241738558519154,0.25163258560484003,0.03304541370879779,-0.2531916608887387,0.35611234371304024,0.006077033156567288,0.04859991999368749,-0.04576774779181312,0.1764932418736925,0.022700831281713168
Gabon,0.38301792367771903,0.3322216211088019,-0.08117217703465203,-0.24570714810129213,0.02446724055879715,0.11638375703864949,0.012998707926364836,-0.1370477698833619,0.13770928395285575,0.00015979319071836816
Gambia (The),-0.15764671589573467,0.021696015283428995,-0.04324795527931028,-0.18030754151349274,-0.03670603553258213,0.09221954330002813,-0.025679212785201154,0.07026311889404858,-0.06964214866494967,0.00152447830497817
Georgia,0.004540459105021314,0.004075753714246858,-0.02981034075425788,0.010987448427910428,0.02571511957407628,0.07577614507433295,-0.009403847635620438,-0.013896410844343121,0.13282145761767275,0.004620277945453258
Germany,0.003342531872081655,-0.07672013508249917,-0.0005771818837151695,0.04759559773749335,0.09728737877254352,-0.1992521216493698,0.041691227444268564,-0.08067993793280351,-0.10005422354513441,-0.3983252432073201
Ghana,-0.06968694012321242,0.027354723456818567,-0.043500164481324786,-0.0701667923246515,0.02872380418900683,0.10741672528418664,0.09198455209723277,-0.08348030591738953,0.18222074278720313,-0.0667831110467773
Greece,0.0640792868694839,0.10334973698116948,-0.060544568791433696,-0.1403446496921451,0.10320958917475843,0.257874131787212,0.01451747596508308,-0.026956164854254342,0.2346342325327755,-0.04170693734379497
Grenada,-0.3279661479639939,0.18264117582870987,-0.027548226300839664,-0.4200340296358771,0.14417572325513706,0.005810907246752878,-0.03843288190517935,-0.0043949742409365375,-0.10382087060909595,0.046611473050108015
Guatemala,0.28421483073455384,-0.20830746647362758,0.3514040180309777,-0.3003116445390764,-0.034358694619864606,0.04583857766269924,-0.012101717600589663,0.08284694693961983,-0.0007840397577430065,0.024408460776376734
Guine,0.16203560592994629,-0.027693242229470814,0.02568614951739293,-0.11125413161578188,0.05858562475013675,0.12643807045281724,-0.041206930156444256,0.051770677000630864,-0.051926856631402174,0.0336474397448254
Guyana,-0.08051540383926377,0.013780954997080354,-0.04996855126697437,-0.08086426427427522,0.0165200369365194,0.119549941489758,0.021033948924046236,-0.008425098442406732,0.08191822616318797,-0.040371639133196406
