term_str,n,p,stop,n_pos,max_pos,max_pos_group,dfidf
126b,6,1.5658768296944531e-06,0,1,CD,CD,7.592457037268081
127,89,2.3227172973801054e-05,0,1,CD,CD,77.98285922589334
1272009,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1273a,8,2.0878357729259374e-06,0,1,CD,CD,7.592457037268081
1274,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1276,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1277,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1278,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
127a,8,2.0878357729259374e-06,0,1,CD,CD,18.022483609640773
127b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
127c,6,1.5658768296944531e-06,0,1,CD,CD,7.592457037268081
128,47,1.2266035165939882e-05,0,1,CD,CD,73.71502118733389
1288,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
128a,5,1.304897358078711e-06,0,1,CD,CD,7.592457037268081
129,52,1.3570932524018593e-05,0,1,CD,CD,80.56699324978686
1291,5,1.304897358078711e-06,0,1,CD,CD,18.022483609640773
1291a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1291i,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
1291k,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1293,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1295,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1296,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1298,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
129a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
129b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
129c,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
129d,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
12a,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
12b,4,1.0439178864629687e-06,0,1,CD,CD,13.184914074536161
12th,15,3.914692074236132e-06,0,1,CD,CD,45.46327960493862
13,263,6.863760103494019e-05,0,1,CD,CD,100.5606185960822
130,64,1.67026861834075e-05,0,1,CD,CD,76.61437744782452
1301,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1303,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1307,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1308,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
130a,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
130b,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
131,52,1.3570932524018593e-05,0,1,CD,CD,81.78608253331737
1311,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1312,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1316,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1318b,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
132,62,1.6180727240176016e-05,0,1,CD,CD,86.21109071130898
1320,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1322d,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
132a,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
133,44,1.1483096751092655e-05,0,1,CD,CD,75.1924502973017
1331,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
1332,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
1334,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
133a,2,5.219589432314843e-07,0,1,CD,CD,13.184914074536161
